"shot_dist","dist_to_goal","shot_angle","body_part","shot_technique","shot_type","teammates_in_frame","opponents_in_frame","closest_opponent_dist","goalkeeper_dist","opponents_in_penalty_area","opponents_in_goal_area","opponents_in_shot_path","is_penalty","is_goal"
16.1941347407016,13.8679486586878,19.0256060375687,"Right Foot","Normal","Open Play",2,5,1.98494332412793,3.18276609256791,5,1,0,0,1
16.4468842033985,19.904019694524,6.72085440279279,"Right Foot","Normal","Open Play",2,5,0.899999999999999,16.7919623629878,5,1,1,0,0
6.32534584034739,9.63846460801719,27.0103461971632,"Right Foot","Volley","Open Play",1,4,2.10237960416286,6.85930025585702,4,2,1,0,0
25.4151529603896,26.6001879692607,17.1034275837649,"Right Foot","Half Volley","Open Play",6,11,3.70135110466434,25.3387055707272,10,3,7,0,0
21.3506440183897,25.3102745935322,16.7511546116487,"Right Foot","Normal","Open Play",4,9,3.20156211871642,21.2228650280776,4,1,1,0,0
19.7941910670782,20.1062179437108,21.8898971063667,"Right Foot","Normal","Open Play",3,6,3.42052627529741,14.4837840359486,5,1,1,0,0
7.02637886823646,15.2502458996568,23.195078158063,"Right Foot","Normal","Open Play",3,8,1.38924439894498,7.24982758415674,6,1,0,0,0
2.3259406699226,19.9541975533971,20.7511457377704,"Left Foot","Normal","Open Play",4,9,1.83575597506858,18.5714835164022,5,1,2,0,0
34.5615393175709,32.7024463916692,13.6176545400739,"Right Foot","Normal","Open Play",3,9,1.80277563773199,32.0426278572779,3,1,1,0,0
20.8710325571113,35.7239415518501,12.6654527985116,"Left Foot","Volley","Open Play",5,9,1.80277563773199,33.9991176356093,6,1,2,0,0
1.84390889145858,11.520850663037,37.5092425400987,"Right Foot","Half Volley","Open Play",2,6,1.4142135623731,10.3812330674155,6,1,2,0,0
6.60681466366357,5.7706152185014,67.0221032493166,"Head","Normal","Open Play",5,9,0.700000000000003,4.34626276242015,8,3,1,0,1
15.1795915623577,18.4133104030753,16.0273489819164,"Left Foot","Normal","Open Play",2,4,9.75909831900468,9.75909831900468,4,2,2,0,0
5.09999999999999,6.01331855134916,67.2175942695183,"Right Foot","Normal","Open Play",2,4,0.860232526704259,4.60977222864644,4,2,1,0,0
26.7366789261494,25.4049207831869,16.2284946121012,"Right Foot","Volley","Open Play",5,10,8.2365041127896,23.5261556570554,7,1,2,0,1
15.6732255773979,17.9212164765677,17.3256906678262,"Left Foot","Normal","Open Play",3,5,1.52970585407783,15.5219199843318,5,1,1,0,0
1.62788205960997,19.0031576323515,16.036569718779,"Left Foot","Normal","Open Play",5,9,1.802775637732,16.4769536019253,8,1,2,0,0
20.6228029132802,28.9254213452458,12.5305818194609,"Right Foot","Normal","Open Play",6,9,4.30464865000617,27.4823579774371,7,1,3,0,0
23.3308808234923,23.7413142011979,19.096186953519,"Left Foot","Normal","Open Play",6,10,2.45967477524977,23.0217288664427,6,1,2,0,0
14.9833240637717,27.8280434094817,15.5615103253285,"Right Foot","Normal","Open Play",7,11,4.77074417675063,26.6647707659376,8,1,3,0,0
8.04984471899925,7.42159012611179,55.8441976323395,"Head","Normal","Open Play",5,10,1.36014705087354,6.55133574166369,7,1,1,0,0
1.34536240470737,20.4452928567922,16.5156188064014,"Right Foot","Normal","Open Play",5,8,1.5,16.962311163282,6,1,1,0,0
21.6004629580016,20.2714084365147,21.3532797897352,"Left Foot","Normal","Open Play",5,9,2.22036033111745,19.3847878502706,6,1,2,0,1
11.1610931364271,13.0084587864974,29.6449098692794,"Head","Normal","Open Play",6,10,0.42426406871194,11.9268604418766,8,1,2,0,0
16.6373074744683,16.4109719395288,27.38063273284,"Left Foot","Normal","Open Play",5,10,1.98494332412792,15.4003246719022,8,1,3,0,0
23.546761985462,26.2093494768565,11.261806165845,"Right Foot","Normal","Open Play",3,8,2.55538646783613,22.8449119061554,3,1,1,0,0
25.4809732938128,26.2360439090957,12.609450416713,"Right Foot","Half Volley","Open Play",3,6,0.89442719099991,23.792856070678,1,1,1,0,0
15.5878157546207,19.1400104493179,14.7137735360185,"Right Foot","Half Volley","Open Play",4,7,5.3665631459995,16.0112460477003,4,1,1,0,0
7.17007670809734,5.437830449729,69.7585475257068,"Right Foot","Normal","Open Play",4,8,2.37065391822595,2.64764045897474,6,1,1,0,1
22.823890991678,22.2225111092334,20.3887172671345,"Right Foot","Normal","Open Play",3,8,3.05941170815567,19.231484602079,1,1,2,0,0
1.06301458127346,23.9793661300711,13.2859856294754,"Left Foot","Normal","Open Play",5,9,1.43178210632763,20.5827597760845,5,1,1,0,0
3.56931365951495,35.3293079468025,12.4484302362585,"Left Foot","Normal","Open Play",4,7,3.68781778291715,33.1602171283603,1,1,3,0,0
8.49293824303462,24.7822517136761,18.2116688229622,"Left Foot","Normal","Open Play",7,11,2.40416305603426,23.5053185470863,6,1,2,0,0
20.2094037517191,20.688644228175,21.3193251240716,"Right Foot","Normal","Open Play",7,10,2.64196896272458,18.5431928210867,5,1,2,0,0
7.36613874428116,11.1359777298628,19.9473208942128,"Right Foot","Normal","Open Play",3,10,1.16619037896906,5.32353266168247,7,1,1,0,0
23.4471746698829,18.1107702762748,17.6379955622974,"Right Foot","Normal","Open Play",1,5,1.91049731745427,9.04267659490264,2,0,1,0,0
4.60977222864644,8.42021377400835,18.5288249478418,"Right Foot","Normal","Open Play",3,7,1.52315462117278,4.75394572960188,6,3,1,0,0
1.17046999107196,11.6965806969387,37.5296079821514,"Head","Normal","Open Play",3,7,1.0770329614269,9.02718117686801,4,1,2,0,0
